"fitted_model","stacking","pseudo_BMA","n_years_val.x","BMA","n_years_val.y","sim","gen_model","n_years"
"lc",0,0,10,1.99363098651592e-147,0,29,"apc",20
"m6",0,0,5,1,0,29,"apc",20
"m6",0.471,0.188,10,1,0,29,"apc",20
"m6",0.183,0.111,1,1,0,29,"apc",20
"rh",0.001,0.036,1,4.39537008385717e-121,0,29,"apc",20
"rh",0,0,5,4.39537008385717e-121,0,29,"apc",20
"rh",0,0,10,4.39537008385717e-121,0,29,"apc",20
"apc",0.999,1,10,1.1192050808831e-81,0,30,"apc",20
"apc",0,0.021,1,1.1192050808831e-81,0,30,"apc",20
"apc",0.766,1,5,1.1192050808831e-81,0,30,"apc",20
"cbd",0,0,10,5.58936101610178e-65,0,30,"apc",20
"cbd",0.162,0,5,5.58936101610178e-65,0,30,"apc",20
